City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,souillac,-20.52,57.52,73.4,60,20,13.87,MU,1592676733
292,hasaki,35.73,140.83,69.8,88,75,8.05,JP,1592676734
293,magadan,59.57,150.8,47.28,90,8,3.6,RU,1592676734
294,padang,-0.95,100.35,77.94,75,100,4.45,ID,1592676734
295,la baule-escoublac,47.29,-2.36,66.2,68,25,13.87,FR,1592676734
296,llanes,43.42,-4.75,71.01,71,39,5.01,ES,1592676734
297,burnie,-41.07,145.92,46.99,94,77,5.01,AU,1592676734
298,saint-ambroise,48.55,-71.33,77.0,50,75,12.75,CA,1592676734
299,salihorsk,52.79,27.54,69.84,84,98,5.59,BY,1592676734
300,pitimbu,-7.47,-34.81,75.2,94,75,16.11,BR,1592676734
301,syracuse,37.09,15.28,82.4,54,0,5.82,IT,1592676735
302,filingue,14.35,3.32,102.85,19,81,4.94,NE,1592676735
303,manbij,36.53,37.95,75.2,41,40,11.41,SY,1592676735
304,alice springs,-23.7,133.88,42.8,56,0,4.7,AU,1592676735
305,pochutla,15.74,-96.47,91.99,59,20,8.86,MX,1592676736
306,xuddur,4.12,43.89,78.46,58,0,16.64,SO,1592676736
307,saint-augustin,51.23,-58.65,56.48,58,53,8.86,CA,1592676736
308,christchurch,-43.53,172.63,44.01,93,21,3.36,NZ,1592676735
309,carutapera,-1.2,-46.02,84.56,71,1,8.32,BR,1592676736
310,pemangkat,1.17,108.97,78.03,86,97,4.18,ID,1592676736
311,touros,-5.2,-35.46,78.8,83,75,9.17,BR,1592676484
312,batticaloa,7.71,81.69,83.8,75,100,4.92,LK,1592676736
313,san luis,-33.3,-66.34,67.28,42,77,17.18,AR,1592676636
314,richards bay,-28.78,32.04,64.65,82,0,10.42,ZA,1592676736
315,scarborough,54.28,-0.4,66.99,66,10,1.99,GB,1592676630
316,sorland,67.67,12.69,57.4,65,0,11.92,NO,1592676737
317,manitouwadge,49.12,-85.84,59.0,93,90,2.24,CA,1592676737
318,alta floresta,-9.88,-56.09,93.2,38,20,9.17,BR,1592676505
319,norwich,52.63,1.3,71.6,56,79,12.75,GB,1592676737
320,oktyabrskoye,43.06,44.74,66.2,82,85,8.95,RU,1592676737
321,shaygino,57.77,46.86,50.59,66,0,6.93,RU,1592676738
322,zhangye,38.93,100.45,75.04,37,100,11.01,CN,1592676738
323,nyurba,63.28,118.33,58.33,74,0,2.08,RU,1592676738
324,nago,26.59,127.98,82.4,94,90,13.87,JP,1592676738
325,kutum,14.2,24.67,82.31,15,0,9.6,SD,1592676738
326,goderich,43.75,-81.72,84.0,60,31,6.35,CA,1592676738
327,guangyuan,32.44,105.82,72.99,84,86,0.67,CN,1592676738
328,ponta do sol,32.67,-17.1,73.4,64,40,17.22,PT,1592676738
329,bilma,18.69,12.92,96.84,9,37,8.93,NE,1592676739
